timestamp,rule_id,rule_level,rule_description,srcip,agent,label,campaign_type
2026-07-13T15:36:19.157+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
2026-07-13T15:36:19.157+0000,5501,3,PAM: Login session opened.,,UbuntuWazuh,0,
2026-07-13T15:36:19.157+0000,5502,3,PAM: Login session closed.,,UbuntuWazuh,0,
2026-07-13T15:36:19.157+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
2026-07-13T15:36:19.157+0000,5501,3,PAM: Login session opened.,,UbuntuWazuh,0,
2026-07-13T15:36:19.157+0000,5502,3,PAM: Login session closed.,,UbuntuWazuh,0,
2026-07-13T15:36:23.159+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
2026-07-13T15:36:23.159+0000,5501,3,PAM: Login session opened.,,UbuntuWazuh,0,
2026-07-13T15:36:23.159+0000,5502,3,PAM: Login session closed.,,UbuntuWazuh,0,
2026-07-13T15:36:23.159+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
2026-07-13T15:36:23.159+0000,5501,3,PAM: Login session opened.,,UbuntuWazuh,0,
2026-07-13T15:36:23.159+0000,5502,3,PAM: Login session closed.,,UbuntuWazuh,0,
2026-07-13T15:36:23.159+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
2026-07-13T15:36:23.159+0000,5501,3,PAM: Login session opened.,,UbuntuWazuh,0,
2026-07-13T15:36:23.159+0000,5502,3,PAM: Login session closed.,,UbuntuWazuh,0,
2026-07-13T15:36:23.159+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
2026-07-13T15:36:23.159+0000,5501,3,PAM: Login session opened.,,UbuntuWazuh,0,
2026-07-13T15:36:23.159+0000,5502,3,PAM: Login session closed.,,UbuntuWazuh,0,
2026-07-13T15:36:27.171+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
2026-07-13T15:36:27.171+0000,5501,3,PAM: Login session opened.,,UbuntuWazuh,0,
2026-07-13T15:36:27.171+0000,5502,3,PAM: Login session closed.,,UbuntuWazuh,0,
2026-07-13T15:36:27.171+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
2026-07-13T15:36:27.171+0000,5501,3,PAM: Login session opened.,,UbuntuWazuh,0,
2026-07-13T15:36:27.171+0000,5502,3,PAM: Login session closed.,,UbuntuWazuh,0,
2026-07-13T15:37:05.212+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
2026-07-13T15:37:05.212+0000,5501,3,PAM: Login session opened.,,UbuntuWazuh,0,
2026-07-13T15:37:05.212+0000,5502,3,PAM: Login session closed.,,UbuntuWazuh,0,
2026-07-13T15:37:15.534+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
2026-07-13T15:37:15.534+0000,5501,3,PAM: Login session opened.,,UbuntuWazuh,0,
2026-07-13T15:37:15.534+0000,5502,3,PAM: Login session closed.,,UbuntuWazuh,0,
2026-07-13T15:37:15.534+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
2026-07-13T15:37:15.534+0000,5501,3,PAM: Login session opened.,,UbuntuWazuh,0,
2026-07-13T15:37:15.534+0000,5502,3,PAM: Login session closed.,,UbuntuWazuh,0,
2026-07-13T15:38:26.069+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
2026-07-13T15:38:26.072+0000,5502,3,PAM: Login session closed.,,UbuntuWazuh,0,
2026-07-13T15:38:26.072+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
2026-07-13T15:38:26.072+0000,5501,3,PAM: Login session opened.,,UbuntuWazuh,0,
2026-07-13T15:38:26.072+0000,5502,3,PAM: Login session closed.,,UbuntuWazuh,0,
2026-07-13T15:38:26.072+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
2026-07-13T15:38:26.072+0000,5501,3,PAM: Login session opened.,,UbuntuWazuh,0,
2026-07-13T15:38:26.072+0000,5502,3,PAM: Login session closed.,,UbuntuWazuh,0,
2026-07-13T15:38:26.073+0000,5402,3,Successful sudo to ROOT executed.,,UbuntuWazuh,0,
